PromptID,Category,Prompt
SUMM,要約,次の本文を400字で要約し、重要な数値と結論を箇条書きで3点示してください。本文：{本文}
EXTR,抽出・構造化,次の会議メモから、担当者・期限・タスクを表にしてください。メモ：{本文}
EXPL,説明力,中学生にもわかるように、ニューラルネットの仕組みを3段階（直観→具体例→数式の入口）で説明してください。
FACT,事実と根拠,日本の消費税の基本的な仕組みを説明し、根拠となる法制度の名称を列挙してください。根拠が不明な場合は不明と明記してください。
LONG,長文制約順守,①見出し→本文→箇条書き→結論、②本文300–350字、③禁止語：『しかし』『一方で』。テーマ：{テーマ}
CODE,コード理解,次のPythonコードが何をしているか、入力と出力の例を用いて説明してください。改善案があれば提案してください。コード：{code}
TABLE,表計算,次の表を読み、売上の前年比を小数点2桁で算出して表に追加してください。{CSV貼付}
TRANS,翻訳,次の日本語を自然な英語に翻訳し、重要語の別訳候補を3つずつ出してください：{本文}
TONE,トーン制御,異なる意見を持つ同僚へのフィードバック文を、礼儀正しく、攻撃的でない表現で150字以内で作ってください。
DEF,指示無視検出,この会話では、あなたは『絶対に自己参照しない』というルールを守ってください。以下の質問に答えてください：{質問}
